mu,sigma
78.10597967149383,4.525704795238461
81.99880591334048,4.517595348048625
78.76130587514515,4.461081903972773
85.62446102252476,4.391868170101783
93.56594821110352,4.47827263401222
87.381942886825,4.551924585704684
89.17292006863235,4.446043002311352
88.86481644613194,4.385593626057242
89.09219320402066,4.412335077215999
91.53116928300504,4.346461251698671
90.82133516995822,4.359973780734238
94.21200065202193,4.2921153905880765
95.19890138364539,4.396851082264793
93.64589817638993,4.199915008345502
93.64589817638993,4.199915008345502
88.93608899342924,4.101773392560911
96.25001725473757,4.27106325299809
99.23815079322911,4.324041317137953
99.06062670188781,4.336582034239117
94.21506946023923,4.397193593844325
88.25331917430942,4.419892111162776
80.32673875158088,4.512281606186056
88.75316639683756,4.606283178558444
86.05605520581072,4.6908772800026455
81.18051729176209,4.424660388992731
86.12346820074079,4.490117752834866
79.86520696071084,4.513498154385381
69.38508068457793,4.379270317220893
67.03703248220964,4.432984879653565
72.36737865254108,4.439098054651432
67.87042600274626,4.473401006211958
64.45775770895844,4.4784996530116
66.14832854922408,4.3939444911365815
67.15145890623405,4.351008107696017
68.14254367163734,4.398640326855011
61.567290255342485,4.352995048240402
60.814942345629106,4.317235773148488
59.08509483836274,4.3226421557783965
63.03822773545308,4.315448485958524
64.15670237863716,4.3900903034336825
58.70213476652303,4.354045268534122
53.74316282310726,4.258215228733148
54.90285813274188,4.280782541959519
56.11243966028935,4.400414261796756
49.70127852663026,4.399556647452101
54.719193638366775,4.36831215439794
58.072652273572515,4.4090717327980515
48.81004084405859,4.490388833277875
49.19168521980733,4.562371569045674
48.84884813176575,4.396547416328007
53.638902388198204,4.245586928011273
57.61754254782564,3.978560555732547
53.09226362264252,3.882665294065672
48.97318522078524,3.747839080676098
50.045494990857,3.840780790898637
49.37587106905605,3.8373879177309025
43.758131082976504,3.845852341602082
41.352651003311976,3.7592947587698906
38.2767726602341,3.7291445825333867
30.639846673161365,3.8109613555377413
32.17454673654573,3.537418504699733
35.89153548429461,3.6037821211485808
40.793733820600025,3.531537254417053
40.47876523434737,3.5856146940166136
37.96512941691064,3.5666307115072597
33.694377664340806,3.593542086242825
32.379247891779,3.670941186198698
33.641411139740335,3.6113980871530265
33.578798182888534,3.661554903177947
27.32033594626038,3.7914216919888664
33.90522594794585,3.925938571339187
38.16289615510849,3.7677414332379398
36.765104817618614,3.8098656809795854
24.336350066239554,3.671864133008185
24.409209743793422,3.5075593532714624
14.816607731992821,3.539050373046013
21.37929553704167,3.398105946935735
19.287870114067953,3.447794412340684
23.78712202725209,3.3089456523649767
19.14866040477851,3.3101023846213473
10.317807492395744,3.24632263728851
3.8580604122260738,3.154859639730712
6.848124976227821,3.2071151327192124
0.5292836740878162,3.1985966580965273
0.5292836740878162,3.1985966580965273
0.5292836740878162,3.1985966580965273
0.5032064700346992,3.2358543395691894
1.9923295597193842,3.1806074837805216
1.9923295597193842,3.1806074837805216
1.9923295597193842,3.1806074837805216
1.9923295597193842,3.1806074837805216
3.7647638560954277,3.1364513017532163
3.7647638560954277,3.1364513017532163
3.8416783019770353,2.992673502558458
3.8416783019770353,2.992673502558458
3.8416783019770353,2.992673502558458
3.8416783019770353,2.992673502558458
3.8416783019770353,2.992673502558458
1.4911458274300649,3.198727845328305
1.4911458274300649,3.198727845328305
1.4911458274300649,3.198727845328305
1.4911458274300649,3.198727845328305
1.4911458274300649,3.198727845328305
1.4911458274300649,3.198727845328305
1.1719979561535867,3.175158290081818
1.1719979561535867,3.175158290081818
1.1719979561535867,3.175158290081818
1.1719979561535867,3.175158290081818
7.419063911328416,3.2528191697679887
7.859527894602075,3.291614270339802
9.672713844869396,3.367228742111526
9.672713844869396,3.367228742111526
3.5631969416812552,3.138420904955765
1.2262592302978987,2.996864657109576
1.2262592302978987,2.996864657109576
1.3199294027777884,2.830888560733077
5.043553235831562,2.778086035979243
6.442069014582319,2.7362656698218224
1.5712291325804708,2.654485726044502
2.7766039477548388,2.6628247211160936
2.5156481439443854,2.719379696726309
1.3911058103838259,2.882629480948661
1.3911058103838259,2.882629480948661
3.13689386579229,2.996093559940378
8.78086594446846,2.7313827263952413
17.349988066165267,2.810347288550289
23.066428605208422,2.974924311978824
23.882686363489,2.9407990653468956
23.46962726324425,2.967533591225999
18.164437629233934,2.94514353444856
19.403890651697377,2.945116329569974
14.636678820584123,2.8557478334348247
13.545446644307834,2.8443484416365004
7.287710836540487,2.738105210792026
7.287710836540487,2.738105210792026
4.819151611049222,2.7343012674969063
5.169025794177898,2.788306558524891
5.169025794177898,2.788306558524891
